Country,City,AccentCity,Region,Population,Latitude,Longitude
af,amir khel,Amir Khel,40,,35.236981,69.162083
af,an`am kheyl,An`am Kheyl,08,,32.782417,67.789551
af,andaresbay,Andaresbay,09,,33.935268,63.533493
af,anguri kelay,Anguri Kelay,28,,31.754438,67.407382
af,apanuch,Apanuch,33,,35.927782,66.203222
af,aq kucheh,Aq Kucheh,26,,36.934368,69.566177
af,`arab kheyl,`Arab Kheyl,36,,33.442921,69.361904
af,arbab mowdud,Arbab Mowdud,02,,35.202043,63.840012
af,arghu,Arghu,37,,33.418179,69.756256
af,arwih,Arwih,11,,34.380829,63.508846
af,asgari,Asgari,28,,32.553028,67.463926
af,ashre kelay,Ashre Kelay,39,,32.931626,66.764469
af,asmar,Asmar,34,15708,35.033328,71.358087
af,asya,Asya,09,,34.638056,64.614722
af,`ata mohammad tangay,`Ata Mohammad Tangay,23,,31.494167,67.515419
af,audam,Audam,39,,32.586193,65.351614
af,aw bakhshi,Aw Bakhshi,02,,34.869305,63.274235
af,awkhwarca,Awkhwarca,07,,35.29061,65.216559
af,awtu,Awtu,05,,34.578611,66.723334
af,ayritan,Ayritan,33,,35.454185,65.6474
af,azhdano kelay,Azhdano Kelay,37,,33.272232,69.949625
af,baba dusti,Baba Dusti,02,,34.952961,63.31443
af,baba sahib karez,Baba Sahib Karez,23,,31.983001,65.992494
af,babul kelay,Babul Kelay,08,,32.440037,67.749223
af,badam kelay,Badam Kelay,27,,34.243611,68.787222
af,badinkheyl',Badinkheyl',27,,34.378333,68.839444
af,badurka,Badurka,27,,34.321478,67.828514
af,baghak,Baghak,17,,34.206009,69.750305
af,bagh-e `attar,Bagh-e `Attar,08,,33.209328,67.983722
af,baghet,Baghet,11,,33.446005,62.899604
af,bagicha,Bagicha,18,,34.26688,70.129349
af,bahadur khan formuli,Bahadur Khan Formuli,13,,34.441897,69.124696
af,bai bachcheh,Bai Bachcheh,32,,36.03961,67.105389
af,bakhavuddin-kalay,Bakhavuddin-Kalay,23,,31.571482,66.365814
af,baki khel,Baki Khel,29,,32.818901,68.561343
af,baladekh,Baladekh,40,,35.035546,69.251886
af,bala nasar,Bala Nasar,41,,33.870223,67.23726
af,baldarghangak,Baldarghangak,05,,34.403645,66.89019
af,bal'tukheyl',Bal'tukheyl',40,,34.996845,69.280098
af,banahal,Banahal,08,,33.176389,68.439167
af,band-e kajaki,Band-e Kajaki,10,,32.233333,65.083333
af,bang-e murdah,Bang-e Murdah,27,,34.346667,67.966389
af,baqi khel,Baqi Khel,29,,32.80325,69.360823
af,barakat khan kelay,Barakat Khan Kelay,36,,33.93045,69.699036
af,barangak-e pa'in,Barangak-e Pa'in,06,,32.486591,62.179169
af,bar-azau,Bar-Azau,06,,33.010916,63.151015
af,bar ferozkhel,Bar Ferozkhel,36,,33.668776,69.2936
af,bari gaw,Bari Gaw,39,,32.564267,66.186293
af,barishtugak,Barishtugak,09,,34.519234,66.452057
af,bar lakhchak,Bar Lakhchak,23,,32.027826,65.39841
af,bars khola,Bars Khola,10,,33.090747,65.058192
af,bashling,Bashling,10,,32.875182,64.889954
af,bauran,Bauran,11,,34.185137,62.837146
af,baydan,Baydan,09,,34.46209,64.546425
af,bayranahgak,Bayranahgak,41,,34.122921,66.43031
af,bazar qal`ah,Bazar Qal`ah,07,,36.366808,64.898765
af,bazmukhammed-khune,Bazmukhammed-Khune,29,,32.750183,68.878296
af,begav,Begav,01,,38.068357,71.168526
af,beland wakil,Beland Wakil,37,,33.308056,69.704722
af,berenji,Berenji,09,,34.193916,64.863663
af,beygshahr,Beygshahr,03,,35.477427,68.641384
af,bidiwa,Bidiwa,38,,35.208538,70.845316
af,bildarghan,Bildarghan,05,,35.086701,67.973714
af,birindzha,Birindzha,11,,34.316767,62.801932
af,bodana qal`eh-ye dovvom,Bodana Qal`eh-ye Dovvom,30,,36.501328,66.928867
af,bolagh tughaneh,Bolagh Tughaneh,08,,34.127429,67.654437
af,borazbi,Borazbi,09,,33.547367,63.622414
af,botteh zar,Botteh Zar,14,,35.097431,69.363022
af,bozmishi,Bozmishi,11,,34.08622,61.724583
af,bugundak,Bugundak,05,,34.495407,66.935379
af,bulaq,Bulaq,27,,34.056667,68.425
af,buniad,Buniad,11,,34.879081,61.093734
af,burj,Burj,10,,33.138438,65.018709
af,butai,Butai,05,,34.814257,66.855124
af,byabanak,Byabanak,23,,31.609233,64.960398
af,cahardar,Cahardar,10,,32.349267,65.174478
af,cahe daraz karez,Cahe Daraz Karez,10,,32.223004,64.352866
af,cala,Cala,23,,31.349803,67.242195
af,candakhel,Candakhel,37,,33.332057,70.082779
af,carbagh,Carbagh,31,,36.865158,66.465159
af,casma-i-cahar,Casma-i-Cahar,02,,34.891283,64.600246
af,cawni,Cawni,40,,34.881666,69.240741
af,cem qal`a,Cem Qal`a,03,,36.141109,68.746585
af,chachaorkalay,Chachaorkalay,39,,32.491603,66.134613
af,chahar bagh,Chahar Bagh,06,,32.380531,62.097473
af,chahar divar-e molla `ali,Chahar Divar-e Molla `Ali,08,,33.427222,68.4075
af,chahar qal`ah-ye junubi,Chahar Qal`ah-ye Junubi,08,,32.825302,67.829025
af,chah burjak,Chah Burjak,11,,33.313667,62.271439
af,chakab,Chakab,06,,32.553654,62.921829
af,chakha,Chakha,14,,35.085922,69.597382
af,chakhil'tan,Chakhil'tan,05,,34.733306,67.630268
af,chal khel,Chal Khel,28,,31.984039,67.710401
af,chambuk,Chambuk,01,,36.460174,70.333293
af,changi kalay,Changi Kalay,28,,31.677786,67.334635
af,chaprahar,Chaprahar,18,,34.277373,70.361795
af,char burj,Char Burj,11,,34.244748,62.191654
af,charm garr,Charm Garr,26,,36.760044,69.443184
af,chashmah-ye gazowrak,Chashmah-ye Gazowrak,11,,33.817581,63.124215
af,chashmeh khani,Chashmeh Khani,11,,34.030283,62.182117
af,chawki,Chawki,13,,34.477515,68.940635
af,chehel gunbad,Chehel Gunbad,08,,33.728056,68.387778
af,chenar,Chenar,13,,34.690023,69.824931
af,cheshmeh-ye kharuti,Cheshmeh-ye Kharuti,13,,34.80151,69.272308
af,chihil kand,Chihil Kand,01,,37.012389,73.405521
af,chimarkhula,Chimarkhula,40,,35.142137,69.044222
af,chinarnau,Chinarnau,34,,34.907223,70.992754
af,chirgukalay,Chirgukalay,36,,33.811111,69.629722
af,choni,Choni,27,,34.314722,68.015278
af,chowrake,Chowrake,39,,33.051671,66.742125
af,chumi,Chumi,27,,34.416389,67.881389
af,cinaran,Cinaran,41,,33.356203,65.328733
af,cormay,Cormay,23,,31.411213,67.423572
af,dabgay,Dabgay,37,,33.303309,70.196845
af,daduk khel,Daduk Khel,29,,32.459304,68.107759
af,dahanah-ye bad asiab,Dahanah-ye Bad Asiab,09,,34.38269,66.001205
af,dahan-e amrotak,Dahan-e Amrotak,09,,34.465607,64.997108
af,dahan-e bidak,Dahan-e Bidak,05,,34.325521,67.067444
af,dahan-e darrehgag,Dahan-e Darrehgag,11,,34.468653,64.053851
af,dahan-e gaw kush,Dahan-e Gaw Kush,09,,34.163779,64.014629
af,dahan-e hesar,Dahan-e Hesar,09,,34.154788,64.072843
af,dahan-e jowz,Dahan-e Jowz,41,,33.756034,65.817801
af,dahane khuskak,Dahane Khuskak,40,,34.830556,68.662778
af,dahan-e narges,Dahan-e Narges,05,,34.387628,67.013374
af,dahane pelan,Dahane Pelan,05,,34.182778,66.983611
af,dahan-e qut quti,Dahan-e Qut Quti,41,,34.224161,66.103165
af,dahan-e say,Dahan-e Say,40,,34.9075,68.433611
af,dahanesorawak,DahaneSorawak,09,,34.584702,66.064835
af,dahan-e tup,Dahan-e Tup,05,,34.26718,67.051707
af,dahan-lakhshanak,Dahan-Lakhshanak,03,,35.19472,68.339013
af,dakhanburuti,Dakhanburuti,41,,34.030058,65.595889
af,dakhani-fatu,Dakhani-Fatu,05,,34.189017,66.993844
af,dakhani-laristani,Dakhani-Laristani,09,,33.78015,64.273898
af,dakhani-surkhnau,Dakhani-Surkhnau,41,,34.006367,65.967006
af,dalashi,Dalashi,14,,35.062035,69.645988
af,dam qala,Dam Qala,36,,33.61063,69.490234
af,dan-e tanur,Dan-e Tanur,27,,34.504249,68.169374
af,darah kirtah,Darah Kirtah,34,,34.922397,71.034005
af,darah-ye shakh,Darah-ye Shakh,07,,35.62104,65.228783
af,darband,Darband,05,,35.281988,67.939128
af,darnahjuy,Darnahjuy,27,,34.468487,67.983511
af,darrah-e shah baba,Darrah-e Shah Baba,01,,36.726812,70.165107
af,darranur,Darranur,18,,34.623817,70.603477
af,darreh-ye namazgah,Darreh-ye Namazgah,01,,36.768729,70.158757
af,darvesh,Darvesh,17,,33.963611,69.052222
af,dar'yakhan,Dar'yakhan,17,,34.040833,69.246944
af,dasht-e khavrok,Dasht-e Khavrok,01,,36.658644,70.175983
af,dastak,Dastak,26,,36.905499,69.706726
af,daulana,Daulana,28,,32.2941,66.454001
af,dawlat khawani,Dawlat Khawani,29,,32.870761,68.704691
af,dayrah,Dayrah,41,,34.27067,66.164329
af,debalay,Debalay,13,,34.472778,69.765834
af,deh a'in,Deh A'in,08,,33.489722,68.118056
af,deh-e `alambardar,Deh-e `Alambardar,19,,31.080833,61.919167
af,deh-e ghowchak,Deh-e Ghowchak,40,,34.946855,69.124139
af,dehe kucay,Dehe Kucay,23,,31.633237,65.619016
af,deh-e nahr-e jadid,Deh-e Nahr-e Jadid,24,,36.960011,69.203124
af,deh-e rod,Deh-e Rod,06,,32.813156,63.56889
af,deh-e `usman,Deh-e `Usman,07,,35.975071,64.440392
af,deh-i-khalifa,Deh-i-Khalifa,11,,34.881822,62.484813
af,deh lattah,Deh Lattah,11,,34.267998,62.483856
af,dehqan qeslaq,Dehqan Qeslaq,24,,37.180292,68.958284
af,dehyak-e la`lbeyg-e jonubi,Dehyak-e La`lbeyg-e Jonubi,39,,32.561313,65.864451
af,de khayrgul kalay,De Khayrgul Kalay,28,,32.422199,66.838426
af,dekhi-kuli,Dekhi-Kuli,08,,33.705833,68.392778
af,dekhmushak,Dekhmushak,23,,32.061156,65.962598
af,delor,Delor,09,,33.593453,63.456484
af,de nizam kor,De Nizam Kor,28,,32.444597,67.012411
af,derki khel,Derki Khel,17,,34.117769,69.724323
af,deva,Deva,35,,34.686581,70.15789
af,dewanah khel,Dewanah Khel,36,,33.53458,68.95887
af,didawaz,Didawaz,41,,33.627411,66.772905
af,dinar khel,Dinar Khel,36,,33.573471,69.112617
af,divalak,Divalak,28,,31.865214,66.534643
af,diwanah qishlaq,Diwanah Qishlaq,24,,37.167271,69.035862
af,doaw,Doaw,42,,35.364832,69.631564
af,dokanha-i-mirajan,Dokanha-i-Mirajan,36,,33.370712,69.401169
af,dom qal`ah,Dom Qal`ah,07,,35.707462,65.202919
af,dosawan,Dosawan,03,,35.640816,69.406401
af,dowlat gharibi,Dowlat Gharibi,27,,34.540278,67.87
af,dozdanak,Dozdanak,11,,34.84,62.731137
af,du burar,Du Burar,09,,33.309699,64.60223
af,dumandi,Dumandi,23,,31.537029,66.578836
af,durkotki,Durkotki,37,,33.280094,69.820068
af,duwarqi,Duwarqi,09,,33.409795,64.362184
af,dzhabar,Dzhabar,08,,33.471667,68.389167
af,dzhamali,Dzhamali,18,,34.401377,70.614322
af,dzhanikheyl',Dzhanikheyl',29,,32.31816,68.313576
af,dzhaudar,Dzhaudar,39,,32.498025,65.353638
af,dzhingikheyl',Dzhingikheyl',36,,33.655827,69.293785
af,dzhuyi-nau,Dzhuyi-Nau,11,,34.272572,62.451057
af,elbeddin,Elbeddin,27,,34.594167,67.796667
af,enjar,Enjar,01,,37.080592,70.461275
af,eshana,Eshana,01,,36.663668,70.181704
af,eslam chungar,Eslam Chungar,30,,37.301099,66.461809
af,espireg,Espireg,09,,34.65731,66.348137
af,ezh kalay,Ezh Kalay,28,,32.145278,67.339167
af,faqiran,Faqiran,09,,34.620125,66.25222
af,farm-e chahar,Farm-e Chahar,18,,34.259942,70.710567
af,fato kats,Fato Kats,18,,34.334648,70.050735
af,fazil'kheyl',Fazil'kheyl',27,,34.050833,68.515
af,firuz bahar,Firuz Bahar,05,,34.752659,67.072646
af,gachiyan,Gachiyan,35,,34.78112,70.051811
af,gadyala,Gadyala,35,,34.956764,70.018662
af,galah,Galah,34,,34.730488,71.08684
af,ganah gol,Ganah Gol,02,,35.01387,63.035064
af,gandakholgay,Gandakholgay,37,,33.291289,69.569853
af,gangikheyl,Gangikheyl,29,,32.605405,69.334724
af,garbi-badpash,Garbi-Badpash,13,,34.634329,69.840633
af,gardan-e sang,Gardan-e Sang,08,,33.141204,67.422463
af,gargah,Gargah,34,,34.913889,71.297222
af,garm ab,Garm Ab,27,,34.285556,68.336944
af,gasbandi,Gasbandi,02,,34.82002,63.916958
af,gav jan,Gav Jan,07,,35.540556,64.527778
af,gawkusta,Gawkusta,05,,34.523611,66.749056
af,gaz-e sufla,Gaz-e Sufla,13,,34.764274,69.829589
af,gerdab,Gerdab,23,,31.451615,67.227
af,geru,Geru,28,,31.992704,67.337695
af,ghal-e gowjeh,Ghal-e Gowjeh,02,,34.876147,64.068976
af,ghanjar,Ghanjar,41,,33.584749,66.817717
af,gharghaitow,Gharghaitow,02,,34.950329,63.155981
af,ghar sangak,Ghar Sangak,05,,34.085102,67.157614
af,ghawgha,Ghawgha,11,,34.35817,61.919186
af,ghbarge kalay,Ghbarge Kalay,28,,32.31998,66.86597
af,ghojowrak,Ghojowrak,41,,34.066721,66.217688
af,gholi sah,Gholi Sah,11,,34.241222,62.10097
af,ghorushtai,Ghorushtai,36,,33.992199,69.64621
af,ghowrqowl,Ghowrqowl,03,,35.892613,68.553526
af,ghulam `ali,Ghulam `Ali,41,,33.94985,66.131895
af,ghundakhel,Ghundakhel,27,,34.383333,68.832222
af,ghurghuri baba,Ghurghuri Baba,10,,32.129454,64.896128
af,gidar go,Gidar Go,27,,34.269695,68.301955
af,girdbayd-e bala,Girdbayd-e Bala,08,,34.048861,67.389042
af,gizgay,Gizgay,08,,32.503454,67.824763
af,godwar kalay,Godwar Kalay,08,,33.305,68.2925
af,goleh,Goleh,08,,34.027116,67.478864
af,golzar,Golzar,27,,34.236947,67.823985
af,gorbat,Gorbat,08,,33.61795,68.70385
af,gorwandian,Gorwandian,14,,34.901829,69.634857
af,gowdarah,Gowdarah,09,,35.211861,64.879578
af,gudali amro,Gudali Amro,08,,33.555536,67.977637
af,gulab shah kelay,Gulab Shah Kelay,28,,31.971982,66.74682
af,gul darah,Gul Darah,32,,35.788895,67.150779
af,gul khanah,Gul Khanah,02,,34.818539,62.981861
af,gul pushtah,Gul Pushtah,35,,34.528845,70.299067
af,gumbad,Gumbad,08,,32.93167,67.543413
af,gundaykalay,Gundaykalay,13,,34.57604,69.720899
af,gurgi tapah,Gurgi Tapah,30,,36.761597,66.630524
af,gustaw,Gustaw,01,,37.023742,73.898922
af,hadzrat-i-baba,Hadzrat-i-Baba,11,,34.726048,62.331637
af,haji `abdul rahman kelay,Haji `Abdul Rahman Kelay,23,,31.393479,66.448344
af,haji faydz mohammad kalay,Haji Faydz Mohammad Kalay,23,,31.358768,66.56069
af,haji lal beg,Haji Lal Beg,23,,31.724762,65.995313
af,haji qayum kala,Haji Qayum Kala,23,,31.776935,65.826063
af,hajji `abd or rahman,Hajji `Abd or Rahman,23,,31.509291,65.435286
af,hajji lalbeyg,Hajji Lalbeyg,23,,31.724762,65.995313
af,haki kalay,Haki Kalay,36,,33.34613,69.360062
af,hamzakhel,Hamzakhel,27,,34.004444,68.695278
af,hasan,Hasan,19,,31.263216,62.003976
af,hasim khel,Hasim Khel,18,,34.244938,69.996803
af,haydar kalay,Haydar Kalay,23,,31.780127,65.790899
af,hazareh qolugh,Hazareh Qolugh,26,,36.774284,69.270035
af,hendugak kariz,Hendugak Kariz,39,,32.63263,65.806578
af,hezarmish,Hezarmish,02,,35.117628,64.392882
af,hokumati arghandab,Hokumati Arghandab,23,,31.6536,65.650482
af,howar say,Howar Say,26,,36.922089,69.388374
af,husaini tak,Husaini Tak,10,,31.691508,64.569248
af,idel,Idel,26,,36.701155,69.829743
af,imam sahib,Imam Sahib,30,,36.661215,66.511465
af,irgin,Irgin,27,,34.585834,67.399167
af,ishar,Ishar,41,,33.668415,66.607494
af,islam chumgar,Islam Chumgar,30,,37.301099,66.461809
af,ispipa,Ispipa,09,,33.423405,63.403092
af,jabar,Jabar,23,,31.504714,65.760376
af,jahangir kala,Jahangir Kala,08,,32.847185,67.576416
af,jalasu pusta,Jalasu Pusta,09,,34.405392,66.180847
af,jamanqiyah,Jamanqiyah,26,,36.546551,69.435974
af,janat bagh,Janat Bagh,24,,36.709908,69.105331
af,jangalyan,Jangalyan,18,,34.35144,70.032875
af,janqehrigh,Janqehrigh,08,,34.063186,68.011803
af,jare dorusht,Jare Dorusht,02,,34.71948,63.561318
af,jariah khanah,Jariah Khanah,09,,33.514883,65.345117
af,jau mutta,Jau Mutta,33,,36.054245,65.569931
af,jawzan shamali,Jawzan Shamali,09,,33.607883,63.685692
af,jelaw gir,Jelaw Gir,03,,36.414593,68.916191
af,jihaw,Jihaw,09,,34.661789,64.80822
af,jola,Jola,03,,36.070011,69.040355
af,joshah,Joshah,05,,34.307937,66.544194
af,jowrah,Jowrah,30,,35.972941,67.072694
af,joye naw,Joye Naw,41,,33.918889,66.633889
af,jum'a hasan kala,Jum'a Hasan Kala,29,,32.966534,69.155586
af,ju tur khona,Ju Tur Khona,29,,33.120833,68.963056
af,kabarghu,Kabarghu,23,,32.507248,66.531027
af,kachapatal',Kachapatal',38,,35.173157,70.17363
af,kaday,Kaday,39,,32.814751,65.3296
af,kafarkhel,Kafarkhel,18,,34.281113,69.63681
af,kah kats,Kah Kats,35,,34.495113,70.060814
af,kaji,Kaji,27,,34.593272,67.480384
af,kakaranu-kalay,Kakaranu-Kalay,28,,31.895939,66.513726
af,kala-atamukhammed-khan,Kala-Atamukhammed-Khan,13,,34.4,69.110278
af,kalafakirshakh,Kalafakirshakh,40,,35.031397,69.194412
af,kala,Kala,34,,34.734253,70.880425
af,kalak say,Kalak Say,26,,36.61256,69.49707
af,kala-navi-sarm-reg,Kala-Navi-Sarm-Reg,08,,33.538333,68.416389
af,kalari,Kalari,40,,35.273058,69.123102
af,kalatah,Kalatah,10,,32.683669,64.980406
af,kalayi-allarakhm,Kalayi-Allarakhm,13,,34.819363,69.2115
af,kalayi-khondor,Kalayi-Khondor,13,,34.48,69.205278
af,kalayi-shada,Kalayi-Shada,13,,34.497778,69.122222
af,kalic,Kalic,06,,33.17598,64.090114
af,kalta tumsuq,Kalta Tumsuq,24,,36.705948,68.686584
af,kamarcha,Kamarcha,03,,35.713705,69.320544
af,kamkae baca,Kamkae Baca,34,,34.920094,71.243167
af,kanat-e sayyid gul,Kanat-e Sayyid Gul,08,,33.082298,68.236275
af,kandikhel,Kandikhel,37,,33.178176,69.647309
af,kansaf,Kansaf,08,,33.2475,68.397778
af,karakheyl',Karakheyl',40,,34.968333,68.833056
af,karasti,Karasti,01,,36.633644,70.243213
af,karezak,Karezak,09,,33.527703,64.159093
af,karez-e dashak,Karez-e Dashak,11,,33.469962,62.601361
af,kareze kelkak,Kareze Kelkak,11,,33.050621,61.860569
af,kareze nawabad,Kareze Nawabad,06,,32.281006,61.410584
af,kareze sultan,Kareze Sultan,06,,32.406548,61.973633
af,karez-i-haydar khan,Karez-i-Haydar Khan,11,,34.927666,61.732301
af,karezi-shaugan,Karezi-Shaugan,09,,34.060017,64.24521
af,karga,Karga,08,,33.934167,68.193889
af,kariz akhundan,Kariz Akhundan,13,,34.457598,69.294979
af,kariz-e ghaw,Kariz-e Ghaw,06,,32.915314,61.883011
af,kariz-e naghak,Kariz-e Naghak,06,,32.338982,61.7826
af,kariz-e zayafghan,Kariz-e Zayafghan,09,,33.990287,64.270215
af,karkoshim,Karkoshim,23,,32.131744,65.23635
af,karukheyl',Karukheyl',28,,31.9689,67.119423
af,kar'yayi-astargakh,Kar'yayi-Astargakh,06,,32.992561,63.029411
af,kar'yayi nargal',Kar'yayi Nargal',23,,31.441208,66.242034
af,kashiali,Kashiali,08,,33.284173,67.613517
af,kasmiri bala,Kasmiri Bala,17,,33.945833,68.948611
af,katah sang,Katah Sang,13,,34.507603,69.718651
af,katasang,Katasang,41,,33.733795,66.670194
af,kaur'yak,Kaur'yak,05,,34.941123,68.121186
af,kayumkheyl',Kayumkheyl',18,,34.291603,70.107361
af,keghatu,Keghatu,23,,32.126672,65.749178
af,kermes bala,Kermes Bala,03,,35.617537,68.290049
af,khabibulla,Khabibulla,23,,31.496448,65.336536
af,khadzhidekh,Khadzhidekh,23,,31.410616,65.885113
af,khadzhi-yunus,Khadzhi-Yunus,26,,36.699733,69.557823
af,khak dow,Khak Dow,05,,34.955773,67.259126
af,khake surkh,Khake Surkh,09,,33.958719,65.128647
af,khakuchay,Khakuchay,23,,32.214359,66.282138
af,khalifah,Khalifah,30,,35.947688,66.847774
af,khal'ma,Khal'ma,18,,34.632408,70.597115
af,kham-e haidari,Kham-e Haidari,11,,33.640676,62.70933
af,kham-i-sabz,Kham-i-Sabz,11,,34.821336,62.585637
af,khanah-ye mulla,Khanah-ye Mulla,27,,34.306944,68.086111
af,khandah low,Khandah Low,35,,35.04756,70.094088
af,khanifikalay,Khanifikalay,06,,32.680782,62.474461
af,khan kheyl,Khan Kheyl,10,,31.674583,64.349724
af,khanzamakhel,Khanzamakhel,08,,33.101646,68.050955
af,kharbed,Kharbed,02,,34.780304,64.391393
af,khar guzar,Khar Guzar,24,,36.545498,68.887482
af,kharnayak,Kharnayak,09,,33.818649,63.759847
af,kharuti,Kharuti,27,,34.3025,68.697222
af,khashim,Khashim,01,,37.630933,70.452592
af,khauzaki-ulia,Khauzaki-Ulia,09,,34.30619,66.43343
af,khaydarkala,Khaydarkala,29,,32.89382,69.131943
af,khayru,Khayru,08,,33.29,68.419167
af,khel-e asp,Khel-e Asp,01,,36.570041,70.376958
af,kheskhatu,Kheskhatu,23,,32.396386,66.427265
af,khidirkheyl',Khidirkheyl',23,,31.564504,66.929433
af,khisarak,Khisarak,08,,33.936389,68.140833
af,khodaydad sakh,Khodaydad Sakh,10,,31.750408,64.698664
af,khodzha-khasan,Khodzha-Khasan,06,,32.068066,62.942059
af,khoja kalay,Khoja Kalay,36,,33.353161,69.37262
af,khormu khel,Khormu Khel,29,,33.160833,68.764167
af,khoshknaw,Khoshknaw,05,,34.856515,68.204179
af,khowstey,Khowstey,28,,31.977321,67.671731
af,khudru,Khudru,11,,34.808236,62.165265
af,khulayi-salar,Khulayi-Salar,11,,33.751808,63.184917
af,khurdak jow qol,Khurdak Jow Qol,27,,34.434749,68.102104
af,khushamand,Khushamand,29,,32.685667,68.238013
af,khushkkul',Khushkkul',27,,34.581389,67.3925
af,khusli payan,Khusli Payan,08,,33.446667,68.015
af,khvajeh anjir,Khvajeh Anjir,07,,36.178984,65.034041
af,khvajeh ilghar,Khvajeh Ilghar,30,,36.677323,67.491895
af,khvajeh qalandar,Khvajeh Qalandar,11,,34.771853,62.664947
af,khvordak jawqowl,Khvordak Jawqowl,27,,34.434749,68.102104
af,khwaja baghlanak,Khwaja Baghlanak,32,,36.551703,67.952891
af,khwajah angal,Khwajah Angal,10,,32.931263,64.846334
af,khwajah ishtil,Khwajah Ishtil,01,,37.106583,70.458592
af,khwajah ra'uf,Khwajah Ra'uf,09,,33.312826,64.717111
af,khwaja,Khwaja,02,,34.841353,63.109154
af,khwaja sar bur,Khwaja Sar Bur,11,,34.605576,62.235935
af,kichak,Kichak,09,,33.403178,64.872846
af,kirmi,Kirmi,41,,33.362048,66.489683
af,klakagbarga,Klakagbarga,28,,32.071493,67.830715
af,kochonay kubar,Kochonay Kubar,10,,32.159304,64.825678
af,koh-e sa,Koh-e Sa,05,,34.112778,66.717222
af,kohnen qal`en,Kohnen Qal`en,24,,36.715981,69.136978
af,kolangar,Kolangar,17,,34.038333,69.020833
af,konar-e khas,Konar-e Khas,34,,34.647505,70.901598
af,korawe hosayn,Korawe Hosayn,09,,33.429786,65.070244
af,korum kalay,Korum Kalay,28,,32.034797,67.992998
af,kota-i-gholamrasul,Kota-i-Gholamrasul,27,,34.426111,68.468333
af,kotgai,Kotgai,34,,34.739533,71.00826
af,kowdi,Kowdi,27,,34.099722,68.221944
af,kowtajuy,Kowtajuy,39,,32.772175,66.653719
af,ksata mel,Ksata Mel,23,,31.097621,66.039016
af,kshattah siabat,Kshattah Siabat,23,,31.261434,66.517657
af,kuchek qezel,Kuchek Qezel,30,,36.195207,66.681071
af,kucnay babri,Kucnay Babri,08,,32.456675,67.795278
af,kuhestan,Kuhestan,14,,35.116667,69.3
af,kuhnaqal`a,Kuhnaqal`a,27,,34.665278,68.034444
af,kulali-bala,Kulali-Bala,05,,34.907554,67.573839
af,kuli-kavzar,Kuli-Kavzar,05,,34.208708,67.164558
af,kulyamkadir-kalay,Kulyamkadir-Kalay,13,,34.690071,69.257736
af,kundi bandeh,Kundi Bandeh,34,,35.078869,70.978065
af,kurakdaneh,Kurakdaneh,40,,34.942295,69.193942
af,kurru,Kurru,37,,33.479267,70.056897
af,kushk-e isma`il bayg,Kushk-e Isma`il Bayg,09,,34.474072,66.102623
af,kutakushta,Kutakushta,41,,33.459996,65.418139
af,kuzah waze,Kuzah Waze,36,,33.36925,69.450674
af,kuz koruna,Kuz Koruna,34,,34.865191,71.139678
af,lab-i-jar-i-taifa bay,Lab-i-Jar-i-Taifa Bay,31,,36.739388,65.637917
